folio,edad_y,beca,ed_formal,edocony,tot_resi,p0a11,ingtot
20060220500,11,6,8, ,4,1,29163.36
20060220560,5,6,5, ,5,2,19407.85
20060220580,8,6,3, ,7,1,42142.76
20060220580,12,6,3,6,7,1,42142.76
20060220580,13,6,3,6,7,1,42142.76
20060220590,13,6,7,6,4,1,30246.0
20060220590,11,6,7, ,4,1,30246.0
20060220600,44,6,8,1,2,0,21051.25
20060220610,8,6,6, ,4,2,20218.5
20060220630,5,6,4, ,6,1,56943.19
20060220640,10,6,3, ,5,2,30901.36
20060220640,6,6,3, ,5,2,30901.36
20060220660,14,6,3,6,4,0,28359.76
20060220660,12,6,3,6,4,0,28359.76
20060220670,10,6,4, ,5,3,22684.55
20060220670,6,6,4, ,5,3,22684.55
20060220690,21,6,3,6,5,0,62306.81
20060220690,17,6,3,6,5,0,62306.81
20060220700,17,6,3,6,5,1,31682.73
20060220700,5,6,3, ,5,1,31682.73
20060230020,17,6,6,6,3,0,22881.23
20060230020,16,6,6,6,3,0,22881.23
20060230050,24,6,3,6,3,0,86285.93
20060230080,18,6,4,6,6,2,17724.19
20060230080,8,6,4, ,6,2,17724.19
20060230090,5,6,4, ,3,1,9436.77
20060230100,7,6,4, ,7,3,21312.87
20060230110,16,6,4,6,5,0,72935.95
20060230110,17,6,4,6,5,0,72935.95
20060230110,12,6,4,6,5,0,72935.95
20060230120,14,6,3,6,7,4,38815.78
20060230120,10,6,3, ,7,4,38815.78
20060230130,10,6,4, ,9,5,28753.9
20060230130,10,6,4, ,9,5,28753.9
20060230130,10,6,4, ,9,5,28753.9
20060230130,8,6,4, ,9,5,28753.9
20060230140,15,6,6,6,8,2,23546.57
20060230140,13,6,6,6,8,2,23546.57
20060230140,6,6,6, ,8,2,23546.57
20060230150,13,6,3,6,6,1,47889.58
20060230170,12,6,7,6,7,1,106326.05
20060230170,10,6,7, ,7,1,106326.05
20060230200,14,6,7,6,4,0,100840.51
20060230220,12,6,5,6,4,1,33472.29
20060230220,8,6,5, ,4,1,33472.29
20060230230,15,6,7,6,5,1,63607.39
20060230230,7,6,7, ,5,1,63607.39
20060230250,11,6,4, ,7,3,43493.81
20060230250,7,6,4, ,7,3,43493.81
20060230290,14,6,3,6,5,2,17819.98
20060230290,8,6,3, ,5,2,17819.98
20060230290,7,6,3, ,5,2,17819.98
20060230300,11,6,3, ,4,2,17542.73
20060230300,6,6,3, ,4,2,17542.73
20060230330,28,6,10,5,7,2,58122.81
20060230330,5,6,10, ,7,2,58122.81
20060230330,16,6,10,6,7,2,58122.81
20060230330,6,6,10, ,7,2,58122.81
20060230340,12,6,4,6,4,1,10283.65
20060230340,8,6,4, ,4,1,10283.65
20060230350,10,6,3, ,3,2,15123.04
20060230360,12,6,3,6,6,2,26314.06
20060230360,12,6,3,6,6,2,26314.06
20060230360,10,6,3, ,6,2,26314.06
20060230370,16,6,5,6,5,2,34838.4
20060230380,15,6,3,6,6,1,44290.3
20060230380,12,6,3,6,6,1,44290.3
20060230430,5,6,3, ,4,1,23067.67
20060230440,22,6,3,5,10,4,37842.82
20060230440,5,6,3, ,10,4,37842.82
20060230440,9,6,3, ,10,4,37842.82
20060230440,6,6,3, ,10,4,37842.82
20060230460,10,6,3, ,8,5,13005.79
20060230460,9,6,3, ,8,5,13005.79
20060230470,15,6,5,6,5,1,39222.15
20060230470,10,6,5, ,5,1,39222.15
20060230490,13,6,3,6,7,1,60056.68
20060230490,10,6,3, ,7,1,60056.68
20060230540,10,6,8, ,5,3,75796.49
20060230590,26,6,9,5,2,0,39017.34
20060230590,22,6,9,5,2,0,39017.34
20060230610,10,6,10, ,5,2,96132.03
20060230610,5,6,10, ,5,2,96132.03
20060230620,9,6,3, ,7,3,43602.67
20060230620,7,6,3, ,7,3,43602.67
20060230630,9,6,5, ,4,2,18752.54
20060230630,13,6,5,6,4,2,18752.54
20060230630,11,6,5, ,4,2,18752.54
20060230640,7,6,6, ,6,4,24499.37
20060230640,5,6,6, ,6,4,24499.37
20060230650,7,6,8, ,3,1,41739.53
20060230660,15,6,7,6,9,3,58526.06
20060230660,10,6,7, ,9,3,58526.06
20060230660,6,6,7, ,9,3,58526.06
20060230660,5,6,7, ,9,3,58526.06
20060230670,13,6,4,6,2,0,15123.05
20060230690,16,6,6,6,3,0,42425.09
20060230710,10,6,5, ,6,3,44310.39
20060230710,8,6,5, ,6,3,44310.39
20060240010,18,6,3,6,5,0,62256.35
20060240010,17,6,3,6,5,0,62256.35
20060240020,10,6,5, ,5,3,10938.97
20060240020,8,6,5, ,5,3,10938.97
20060240020,11,6,5, ,5,3,10938.97
